,Open,High,Low,Close,TotalVolume
2017-02-12,364.0,375.5,362.5,373.75,983182
2017-02-19,373.5,380.0,368.0,368.5,950695
2017-02-26,368.5,372.75,362.5,364.5,612602
2017-03-05,371.0,386.25,367.25,380.75,1036483
2017-03-12,380.5,383.0,362.5,364.75,740101
2017-03-19,364.0,367.75,360.0,367.75,597817
2017-03-26,369.0,370.75,355.25,355.75,619007
2017-04-02,356.75,366.75,354.25,364.75,737451
2017-04-09,365.75,371.75,357.25,359.75,792387
2017-04-16,360.0,373.0,359.0,370.75,819666
2017-04-23,371.0,372.0,360.5,363.0,858739
2017-04-30,364.0,374.75,362.5,365.5,1234482
2017-05-07,371.5,379.0,366.0,371.5,1060253
2017-05-14,369.25,374.0,365.0,371.25,732228
2017-05-21,370.5,373.0,364.25,372.25,722132
2017-05-28,372.75,377.5,368.75,373.75,631721
2017-06-04,373.5,376.5,366.25,372.0,709270
2017-06-11,373.75,391.75,371.25,388.0,1507057
2017-06-18,386.0,387.25,370.0,384.25,1177580
2017-06-25,378.25,381.5,356.5,359.0,926829
2017-07-02,358.5,383.0,357.25,380.0,1073253
2017-07-09,384.0,397.0,382.0,391.75,680489
2017-07-16,397.0,404.75,368.5,377.0,917521
2017-07-23,375.75,393.25,370.5,380.0,632986
2017-07-30,375.5,383.75,366.0,375.25,437060
2017-08-06,371.0,372.25,361.25,367.25,469180
2017-08-13,368.75,375.5,356.5,361.25,831939
2017-08-20,358.75,367.75,349.25,365.0,647098
2017-08-27,364.25,365.25,352.5,353.0,826543
2017-09-03,353.25,360.75,344.25,354.75,1020146
2017-09-10,354.75,362.0,354.75,356.5,480501
2017-09-17,356.5,359.25,345.5,354.75,724869
2017-09-24,353.25,356.25,346.5,353.5,558465
2017-10-01,352.75,358.0,348.5,356.25,769386
2017-10-08,354.75,356.25,346.0,349.75,740269
2017-10-15,350.5,354.0,342.5,352.75,809676
2017-10-22,352.75,353.25,344.25,344.25,668469
2017-10-29,344.25,355.25,343.0,348.25,891656
2017-11-05,348.5,352.0,345.25,349.0,796851
2017-11-12,348.5,350.25,340.75,343.5,1402381
2017-11-19,343.5,344.0,336.25,343.25,1166436
2017-11-26,342.5,347.0,339.75,342.0,799516
2017-12-03,342.5,359.5,338.5,359.0,1108369
2017-12-10,359.0,360.5,350.5,352.5,766071
2017-12-17,352.0,353.0,346.5,347.25,602437
2017-12-24,347.25,352.5,346.5,352.25,417845
2017-12-31,352.0,354.25,350.0,351.0,302852
2018-01-07,351.25,354.75,350.25,351.25,557081
2018-01-14,350.75,351.5,345.5,347.25,864222
2018-01-21,347.25,354.0,346.0,352.5,688707
2018-01-28,353.5,358.0,349.5,356.25,1005947
2018-02-04,356.75,362.5,356.75,361.0,944484
2018-02-11,359.5,367.75,356.25,362.0,1454872
2018-02-18,365.0,368.75,364.25,367.25,973647
2018-02-25,369.0,370.0,364.25,366.25,873893
2018-03-04,366.5,388.0,366.5,384.75,1367121
2018-03-11,385.0,393.75,384.0,390.75,943729
2018-03-18,389.5,395.25,382.5,382.75,854952
2018-03-25,382.0,382.0,369.25,377.0,972568
2018-04-01,378.5,389.25,372.0,387.75,782407
2018-04-08,389.25,392.5,372.0,388.75,1245343
2018-04-15,389.75,392.5,385.0,385.25,967953
2018-04-22,385.0,390.75,379.75,385.75,745349
2018-04-29,385.25,399.0,385.25,399.0,1009520
2018-05-06,399.25,408.25,399.0,406.0,963842
2018-05-13,405.0,407.0,395.75,396.75,910090
2018-05-20,396.25,404.75,394.25,401.75,766178
2018-05-27,405.5,412.25,401.0,406.5,810752
2018-06-03,408.75,410.0,390.75,390.75,825442
2018-06-10,389.75,389.75,373.5,377.0,1073303
2018-06-17,376.5,379.75,355.25,362.5,1362832
2018-06-24,359.5,362.0,338.75,357.0,910254
2018-07-01,358.5,365.0,344.5,359.25,826554
2018-07-08,360.75,362.25,346.75,359.5,427692
2018-07-15,359.25,359.25,337.25,340.25,558705
2018-07-22,340.0,355.75,338.75,354.5,369462
2018-07-29,356.0,365.75,351.5,361.5,507173
2018-08-05,364.0,374.25,363.5,369.75,535110
2018-08-12,370.0,373.75,357.0,357.25,591313
2018-08-19,357.5,382.5,352.25,379.0,503957
2018-08-26,391.25,392.25,373.0,375.25,206535
2018-09-02,375.0,378.0,368.0,377.75,234925
2018-09-09,377.75,381.25,373.25,379.5,200723
2018-09-16,379.0,380.75,361.75,363.5,383217
2018-09-23,363.0,369.75,354.75,369.5,296708
2018-09-30,369.25,378.25,366.75,368.25,216587
2018-10-07,368.5,381.0,368.5,379.25,325023
2018-10-14,380.25,385.75,372.25,385.5,288886
2018-10-21,385.0,390.5,378.5,378.5,281472
2018-10-28,378.0,384.75,372.75,380.5,313393
2018-11-04,380.25,384.75,375.0,382.75,423634
2018-11-11,383.0,390.0,377.75,380.5,652497
2018-11-18,380.5,383.5,374.0,375.25,520269
2018-11-25,375.5,377.0,370.25,370.25,450662
2018-12-02,371.0,378.0,367.25,376.75,1282530
2018-12-09,383.5,386.75,380.0,385.25,711074
2018-12-16,384.5,387.75,381.25,384.75,706016
2018-12-23,384.25,386.5,374.75,378.5,601667
2018-12-30,378.25,379.25,372.5,375.0,286021
2019-01-06,375.5,383.5,372.75,382.75,394062
2019-01-13,382.25,384.5,376.0,379.0,700254
2019-01-20,378.5,383.0,371.0,380.75,881646
2019-01-27,380.75,382.25,375.75,380.25,535273
